"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014"
"Eritrea",454.62055,468.2979925,450.195185,385.940855,381.283525,287.35302,397.24131,397.5903525,379.9387025,447.104355,355.691645,265.87578,270.46636,471.6155475,482.294855,467.51612,494.7474475,489.9731225,540.5905825,542.7942675,501.6379,423.4841475,386.127935,324.0862425,383.03313,334.4887475,403.3112625,421.66094,387.4475975,307.8055525,260.2233925,384.12179,296.354225,345.5588775,322.0476825,421.9998125
"Senegal",630.937876470588,544.960336764706,652.60765,564.994210294118,449.151608823529,561.839426470588,614.967158823529,640.919369117647,656.973123529412,736.276654411765,713.7952,551.909011764706,551.089495588235,599.433219117647,661.610169117647,757.865973529412,689.526020588235,649.571217647059,638.296729411765,670.969572058824,838.798089705882,727.087494117647,643.952857352941,549.245244117647,867.875838235294,633.637167647059,709.193545588235,637.133717647059,585.442425,769.570951470588,715.281966176471,808.121773529412,518.293461764706,776.592166176471,725.443211764706,572.065894117647
"Cape Verde",140.1663,197.9222,401.5414,311.4643,197.3828,289.905,266.2562,484.0174,232.8329,263.5461,339.2376,306.3296,164.1378,103.8676,335.5785,149.7697,167.4055,221.3792,92.2559,133.0667,175.0359,178.3562,119.5313,151.7717,178.8635,240.4081,144.9386,136.6421,132.9152,221.7959,235.5005,217.0663,164.5604,206.7648,254.836,94.1771
"Burkina Faso",841.09265,786.413886046512,765.013688372093,750.006925581395,624.905369767442,627.155934883721,724.117601162791,784.352129069767,693.157415116279,838.768805813953,822.694961627907,691.326905813953,945.448486046512,810.916187209302,774.219513953488,1021.08833837209,827.848276744186,836.477096511628,796.797074418605,912.938338372093,939.91621744186,780.740726744186,785.622505813953,715.483060465116,993.474101162791,784.432723255814,805.535913953488,839.036001162791,901.110931395349,879.262904651163,888.434238372093,951.697794186047,761.043120930233,942.504390697674,814.863425581395,878.540226744186
"Ethiopia",945.679601897019,875.081034146341,1043.31887154472,1013.64613170732,956.396293224932,744.177785907859,901.229704607046,821.951169918699,832.71185501355,903.602453387534,911.343942547425,823.400756097561,780.915892140921,816.1982799458,864.049705420054,842.710550406504,792.868531436314,908.658533875339,1002.87604200542,899.035078861789,833.406920054201,855.609341192412,833.398515176152,759.715575067751,821.622915176152,776.987523577236,782.195687533875,921.25084905149,803.88135094851,779.942209214092,626.474856639566,797.643073170732,767.891427100271,851.953177506775,775.337296205962,807.205439295393
"Nigeria",1231.47979636964,1272.78662442244,1182.00802574257,1135.34668217822,937.094621452145,1095.13082937294,1150.66160231023,1129.41722541254,1071.36109471947,1271.01142640264,1228.77005181518,1223.33831518152,1350.01442475248,1201.62508184818,1218.2911339934,1291.40437227723,1281.17787326733,1293.58890858086,1310.44196963696,1213.45124488449,1310.15244950495,1129.06520990099,1231.89105841584,1244.93387623762,1167.76848019802,1186.44043993399,1204.33092739274,1380.91049636964,1360.07875148515,1247.29748217822,1185.24685544554,1315.32630495049,1078.80224455446,1332.70102244224,1139.2532689769,1226.92504653465
"Gambia",772.501966666667,617.611933333333,767.9848,669.813733333333,528.745866666667,682.972366666667,722.388233333333,742.7782,790.805733333333,894.850233333333,846.3441,648.772233333333,629.423266666667,718.3169,783.984333333333,879.584066666667,800.703833333333,745.9125,776.563433333333,787.8842,1014.78493333333,901.152333333333,743.5796,641.4541,982.7339,737.983033333333,842.138366666667,782.1904,673.591566666667,950.1731,813.412566666667,917.496866666667,584.859466666667,918.7573,845.1334,658.579766666667
"Cameroon",1659.4103047619,1725.66740068027,1633.29754965986,1673.8411047619,1367.61608027211,1595.26210544218,1682.46693197279,1518.31406598639,1476.79204081633,1668.40512380952,1570.30278639456,1707.8116122449,1625.47363061224,1588.04995170068,1646.60595918367,1630.3218755102,1612.10338707483,1616.80118571429,1646.9617,1519.05650884354,1664.21157619048,1536.40399115646,1563.94254829932,1694.10854761905,1347.93136394558,1523.17394489796,1504.26967414966,1737.34457619048,1720.50811836735,1426.17347482993,1428.80743469388,1660.55444081633,1453.05512721088,1582.69301632653,1651.46496870748,1520.01802108844
"Guinea-Bissau",1615.16683636364,1496.75609090909,1738.62356363636,1579.97498181818,1443.442,1427.26537272727,1531.58983636364,1608.21946363636,1604.58925454545,1716.66466363636,1790.22665454545,1495.91894545455,1655.29463636364,1645.75289090909,1652.42559090909,1900.85678181818,1657.8589,1572.01496363636,1746.12788181818,1757.09445454545,2064.61555454545,1790.26699090909,1755.20671818182,1573.32389090909,1995.55057272727,1633.91808181818,1509.79029090909,1646.30622727273,1399.49449090909,1773.10859090909,1380.62565454545,1523.43381818182,1201.97310909091,1695.67657272727,1811.69085454545,1505.94612727273
"Guinea",1724.86143205128,1669.97323974359,1771.33046794872,1657.09999871795,1514.91636410256,1488.52767051282,1613.27246923077,1635.75798974359,1604.17348846154,1697.21259102564,1737.40323974359,1695.02435769231,1721.41055641026,1775.14556410256,1734.25603461538,2026.75406794872,1765.34302307692,1779.19517820513,1819.21498846154,1913.85559615385,1943.45898717949,1760.66870128205,1870.92234102564,1687.10437820513,2136.02440897436,1705.75917692308,1467.82476794872,1855.67511025641,1529.3519,1834.21559358974,1410.91460641026,1425.24007820513,1170.41427948718,1743.01873333333,1932.19444871795,1691.77226794872
"Benin",1243.07262564103,1117.19583076923,1038.82727179487,991.212561538462,842.206782051282,1039.67669487179,1116.37012820513,1037.00874615385,1051.82506153846,1185.47978205128,1190.83644102564,1029.60861025641,1340.67291794872,1014.19295897436,1092.69958717949,1240.70178717949,1203.31757692308,1146.08839230769,1125.53732820513,1170.43283589744,1219.54130512821,1045.55246410256,1005.27753846154,1128.13838717949,1255.83332307692,1150.93637692308,1077.46908974359,1069.69660769231,1251.10673589744,1246.63351025641,1174.50163846154,1235.14047179487,1019.16781282051,1136.53871538462,967.005156410256,1136.76308205128
"Djibouti",409.323228571429,292.359214285714,480.713728571429,476.940814285714,479.089128571429,232.076957142857,375.779285714286,440.134585714286,393.665585714286,425.6619,533.267471428571,371.374085714286,376.1954,381.167614285714,462.2131,433.045385714286,432.135214285714,449.991014285714,466.271514285714,416.489628571429,399.585914285714,404.985042857143,368.484142857143,295.784957142857,350.115771428571,380.724114285714,369.603271428571,454.044585714286,325.861071428571,307.456642857143,238.996514285714,449.733385714286,291.410442857143,399.330614285714,379.692214285714,317.153085714286
"Somalia",355.827131603774,238.241916509434,448.076643867925,430.242519339623,275.68505754717,265.882044339623,350.711954245283,311.166811792453,364.629516509434,284.17036745283,416.203668867925,307.692209433962,308.489226415094,266.714659433962,359.608706132075,389.532229245283,318.815508490566,279.513695754717,691.189913679245,328.239370754717,322.945428773585,308.752564622642,302.104986320755,387.990110377359,378.543446698113,427.423650471698,302.604309433962,475.650564150943,327.474761792453,302.231333490566,345.75760754717,375.057839150943,403.319966037736,457.203508962264,415.204004245283,354.060272169811
"Ghana",1461.28586282051,1311.26236282051,1213.50018076923,1139.65620128205,905.629776923077,1293.07424871795,1285.39787564103,1166.76200384615,1321.6271474359,1245.70555384615,1392.88615769231,1132.05832564103,1430.31428974359,1065.49932564103,1208.04156923077,1208.98662435897,1321.58540769231,1300.37056923077,1261.98747051282,1128.41167564103,1382.16437692308,1191.90592307692,1065.67193461538,1236.54816025641,1335.61893076923,1273.72208974359,1213.78283589744,1146.7604448718,1291.37060769231,1320.60470641026,1177.46108589744,1334.53378205128,1092.17008333333,1057.24571025641,1035.81057179487,1215.17030128205
"Togo",1411.18225,1204.3734,1099.97710555556,1024.77313888889,874.981866666667,1165.17027777778,1240.83287222222,1102.07367777778,1202.34828888889,1281.50578333333,1325.35460555556,1108.56305555556,1426.54190555556,1042.29458888889,1198.6683,1218.33795555556,1353.43648888889,1211.65756666667,1230.5451,1189.53057222222,1306.00741111111,1105.94277222222,1011.33257777778,1225.85793888889,1346.84653333333,1261.60967222222,1137.83817222222,1125.88996666667,1348.80363888889,1283.49049444444,1261.71161111111,1330.42535555556,1078.02302777778,1148.89202222222,1003.46462222222,1179.08063888889
"Central African Republic",1416.09246960784,1387.80789362745,1378.39145686275,1353.4948872549,1280.81059705882,1193.59110294118,1357.23022254902,1252.15636519608,1268.7896504902,1417.04969411765,1372.90325637255,1404.54921764706,1433.99315392157,1378.41934754902,1357.77586568627,1339.58435196078,1364.21677205882,1377.16834754902,1309.891375,1468.89756372549,1503.86159607843,1254.09660343137,1346.27478284314,1360.76622843137,1406.39941323529,1320.36943088235,1301.26234117647,1423.0873,1430.87256715686,1383.72357990196,1225.5824245098,1454.28457892157,1301.14107303922,1443.93876813726,1427.71751372549,1277.91773627451
"Cote d'Ivoire",1538.38610550459,1424.49513486239,1294.36501100917,1265.97656972477,993.544124770642,1381.02340366972,1425.93180917431,1201.48192844037,1389.4298706422,1371.71306055046,1495.06323302752,1234.87490733945,1313.76538715596,1160.79436422018,1272.57289174312,1386.62585963303,1431.4608853211,1395.42630825688,1211.29398990826,1283.98606055046,1418.74830733945,1304.64366513761,1175.8773146789,1195.60941100917,1456.03042018349,1281.14571284404,1217.98826605505,1291.38432018349,1245.97724220183,1398.98132110092,1177.1016440367,1455.41450275229,1157.43588715596,1217.69307431193,1265.7578266055,1403.89254587156
"Sierra Leone",2696.55474,2572.905632,2670.57158,2427.969436,2422.889412,2259.76626,2263.881608,2343.41906,2351.964004,2282.272012,2454.501508,2242.183448,2253.678752,2485.184068,2440.960672,2580.915864,2498.547216,2546.88514,2411.276796,2728.717504,2436.246376,2391.738324,2420.597612,2290.179064,2659.346924,2190.518532,1875.055984,2439.315016,1874.507804,2294.859412,1456.567236,1624.034948,1474.784112,2135.338984,2335.302952,2419.72376
"Liberia",2484.91787096774,2347.17672903226,2174.59661935484,1990.36374516129,1860.4176516129,2186.48719032258,2203.90782903226,1853.40538064516,2063.43328387097,2092.75030322581,2148.76828387097,1844.72250967742,1899.53400645161,1897.76154516129,1922.26445806452,2146.67257741936,2195.81881612903,2262.2207483871,1964.67251290323,2290.02581290323,2142.98884193548,2105.0979,1858.18893548387,1809.34312580645,2190.11351612903,1887.38654516129,1633.27096451613,1916.69126451613,1719.45786451613,2090.16591612903,1284.38909677419,1826.93465483871,1395.22236451613,1779.69372580645,1868.87662258065,1953.57333870968
"Democratic Republic of the Congo",1649.09010691906,1625.00115091384,1625.13577650131,1664.16073720627,1568.59301710183,1576.15536174935,1699.47299738903,1662.43605626632,1678.44191031332,1733.83415887728,1755.11412480418,1695.22897415144,1624.17041031332,1604.5272727154,1586.93406449086,1542.87917715405,1537.63370900783,1565.76957258486,1601.32157154047,1494.98210469974,1641.7928843342,1686.00634516971,1709.0906732376,1735.63093211488,1563.46051436031,1682.66145652742,1540.63347663185,1792.77987506527,1770.77279386423,1584.49383668407,1608.62525078329,1623.4915075718,1663.40134190601,1607.49487232376,1506.40705626632,1497.09430522193
"Kenya",791.632757754011,526.278284491979,758.032022459893,848.974047593583,571.417312834225,522.804611229947,665.010626737968,696.452832085561,561.044652941176,774.956010695187,803.269251336898,803.508318716578,584.04805828877,605.558450802139,532.040636363636,730.353628877005,616.610103743315,522.323447058823,1023.59710695187,784.057512834225,572.150326203209,424.321614973262,612.093711229947,700.591343850267,588.116229946524,564.594889304813,413.930836363636,822.130941176471,591.083218181818,501.675784491979,490.385278609626,547.086811229947,673.528957219251,598.46899197861,593.303167914439,505.371078074866
