 YEAR,   JAN,    FEB,   MAR,    APR,     MAY,     JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC
1965,142.4,25.7,87.9,83.1,76.3,94.3,102.7,101.5,152.6,87.9,119,181.5
1966,80.3,138.8,87.5,97.2,90.9,108.4,77.4,102.4,86.9,142.8,116,176.5
1967,98.6,119.1,118.7,60.4,130.3,57.7,90,90.7,136.5,220.7,109.7,110.3
1968,122.8,65.8,102.4,72.2,87.6,85.4,98.8,70.2,140.3,152.7,84.4,96.6
1969,136.7,84.1,66.9,67.2,114.6,73.6,75.7,78.8,85.3,69.5,165.5,117.8
1970,124,119.3,88.1,94.4,45.8,56.1,106.8,95.8,111.5,130.5,195.8,71.7
1971,128.4,70.7,92.7,64.6,64.6,92.5,64.5,112.5,51.8,111,130.7,79.1
1972,130.6,93.4,87.1,98,91,102.7,62.9,58,40.4,57.2,147.7,129.9
1973,83.8,82.9,50.8,77.8,91.6,71.8,92.3,94.9,106.6,73.6,117.1,132.8
1974,196.6,128.1,61.4,15.9,59.7,69.9,95.5,102.7,156.9,106.1,152.6,151
1975,195.7,41.8,75.3,85.6,43.3,39,83.3,68.8,150.3,69.1,113.3,76.7
1976,129.5,70,94.8,41.1,90.9,47.9,51.2,24,152.2,185,120.8,110.1
1977,124.2,149.4,108.1,84,58.8,78.3,44.5,101.8,88.8,128,154.6,102.2
1978,146.7,103.9,128.2,46.8,38.6,63.5,88.3,81.5,118.8,64.8,129.5,172.8
1979,119.2,59.9,148.9,81,111.7,54.4,61.6,118.3,86.4,126.4,153,190.2
1980,110.5,111.7,115,20.2,31.2,124,95,107.6,130.5,167.1,137.6,145.2
1981,107.6,75.7,166.4,49.8,93.8,73.2,72.5,52.1,187.8,183.3,139.3,104
1982,119.4,85.5,133.7,33.2,66.3,99.6,46.6,122.4,143,158.6,184.4,157.4
1983,164.4,54.8,113.7,92.3,105.3,57.3,38.1,48.9,137.4,158.1,56.3,176.2
1984,192.4,86,80.2,35.8,45.6,54.4,40.1,59.7,151.9,159.2,193.6,131
1985,92.9,43,93.2,92.8,76.7,91,116.4,167,121.7,65.7,120,169.3
1986,163.6,18.5,126.5,89.1,126,57.2,75,123.2,41.8,129.2,172.7,215.7
1987,55.4,80.1,134.4,69.7,59.1,103.6,95.1,99,105.9,190.4,101.6,101.1
1988,196.8,100.1,146,61.6,61.1,40.4,162.7,126.2,105.6,137.2,78.7,93.1
1989,114.6,155.6,138.5,86.7,36.9,71.4,48.6,119.4,69.3,153.8,68.5,136.3
1990,190.5,218.4,107.8,72.5,41.7,103.1,59.1,79.8,97.4,164.1,95,149.5
1991,125.5,79.6,107.9,98.8,26.4,105.1,82.6,50.9,95.4,125.5,160.3,92.7
1992,90,106,142.6,99.8,62.3,44.7,97.4,176.3,135.5,109.9,181.8,121.5
1993,200.5,39.7,67.6,111,105.7,83.8,99.1,67.3,103.1,105.3,92.1,212.5
1994,173.4,106,163.9,105.7,54,72.3,64,98,114.8,110.5,128,194.6
1995,207.6,156.7,112.9,47.3,66.7,33,66.6,22.2,144.5,142.5,112.9,92.8
1996,84.9,113.1,60.9,85,72.4,47.3,62.5,90.1,49.8,162,170.8,83.9
1997,33.6,181.9,76.1,47.7,97.4,121.7,71,91,71.8,84,151.2,157.2
1998,163.7,90.5,124.9,120.2,43.4,125.8,103.6,83.6,96,205.1,143,140.9
1999,185.9,100.6,100.1,96.7,81.5,105.8,48.9,100.2,159.8,100.1,126.9,218.6
2000,101.9,145.1,70.1,115,83.4,63,55.5,96.1,156,219.6,196.9,174.6
2001,91.9,115.7,92.5,88.4,47.1,60.7,83.8,112.5,104.1,175.5,104.6,88.6
2002,145.5,180,82.1,77.9,104.4,102,121.2,84.8,49.2,179.8,199.5,118.8
2003,122.6,55.5,65.5,52.6,99.4,73.9,85.9,32.5,74.6,85.3,142.3,128.9
2004,166.2,73.5,74.3,98.1,47.4,89.9,76.5,166,121.8,189.6,85.7,116.6
2005,131,81.5,80.5,101.6,80.7,77.5,70.8,92.6,103.7,174.4,118.1,96.8
2006,63.1,74.8,123.5,69.9,117.2,44.8,60.3,91.9,114.8,171.3,158.6,175.7
2007,154,123.4,90.5,29.8,119.5,121.9,141.9,98.4,75.2,70,119.9,125.2
2008,201.1,81,131,82.8,48.6,97.2,108.9,146.3,109.8,175.5,115.6,103.3
2009,136.5,76.5,80.9,75.6,84.6,59.8,143.5,139.2,77.4,133.3,241.7,129.9
2010,94.6,91.2,93.4,53.2,56.8,43.1,135.4,94.4,128.1,110.2,135,59.7
2011,111.6,125.1,67.9,41.7,103.5,93.9,78.3,112.8,121.7,134.6,104.4,183.8
2012,121.6,66.8,42.2,125.6,66.8,147.7,118.2,120,130.8,147.5,159.3,196.1
2013,124.5,76.1,79.4,71.7,96.6,57.7,69.5,86.4,87.5,167.4,113.8,205.1
